GREVESSE 93 MIX X=0.00  Z=0.10
 1 17 4.100 -7.0  -1.010  -1.009  -1.010  -1.018  -1.037  -1.063  -1.076  -1.050
   -.998   -.901   -.749   -.516   -.214    .126    .462    .777   1.077
 2 17 4.050 -7.0  -1.068  -1.133  -1.233  -1.354  -1.476  -1.583  -1.649  -1.665
  -1.605  -1.446  -1.168   -.823   -.463   -.114    .214    .530    .845
 3 17 4.000 -7.0  -1.374  -1.539  -1.708  -1.867  -1.998  -2.087  -2.105  -2.049
  -1.897  -1.676  -1.366  -1.046   -.715   -.388   -.061    .269    .589
 4 17 3.950 -7.0  -1.933  -2.101  -2.234  -2.319  -2.349  -2.324  -2.257  -2.156
  -2.019  -1.833  -1.605  -1.331  -1.019   -.684   -.346   -.013    .316
 5 17 3.900 -7.0  -2.429  -2.472  -2.475  -2.456  -2.423  -2.379  -2.332  -2.277
  -2.206  -2.099  -1.920  -1.650  -1.324   -.982   -.647   -.303    .058
 6 17 3.850 -7.0  -2.542  -2.525  -2.508  -2.492  -2.479  -2.476  -2.482  -2.496
  -2.486  -2.403  -2.221  -1.950  -1.638  -1.303   -.946   -.559   -.162
 7 17 3.800 -7.0  -2.561  -2.559  -2.564  -2.583  -2.625  -2.687  -2.745  -2.767
  -2.741  -2.657  -2.510  -2.280  -1.970  -1.597  -1.188   -.774   -.390
 8 17 3.750 -7.0  -2.625  -2.664  -2.733  -2.819  -2.893  -2.940  -2.962  -2.979
  -2.984  -2.931  -2.773  -2.489  -2.108  -1.681  -1.263   -.887   -.572
 9 17 3.700 -7.0  -2.849  -2.937  -2.999  -3.039  -3.079  -3.136  -3.206  -3.257
  -3.236  -3.110  -2.873  -2.544  -2.163  -1.786  -1.449  -1.171   -.938
10 17 3.650 -7.0  -3.071  -3.108  -3.167  -3.257  -3.358  -3.435  -3.457  -3.404
  -3.277  -3.087  -2.852  -2.582  -2.308  -2.053  -1.821  -1.589  -1.318
11 17 3.600 -7.0  -3.284  -3.397  -3.499  -3.562  -3.574  -3.536  -3.455  -3.344
  -3.221  -3.099  -2.985  -2.863  -2.704  -2.485  -2.209  -1.892  -1.550
12 17 3.550 -7.0  -3.619  -3.643  -3.631  -3.592  -3.536  -3.475  -3.429  -3.405
  -3.408  -3.420  -3.395  -3.290  -3.076  -2.774  -2.427  -2.072  -1.739
13 17 3.500 -7.0  -3.647  -3.615  -3.586  -3.576  -3.594  -3.641  -3.709  -3.775
  -3.811  -3.801  -3.714  -3.536  -3.276  -2.968  -2.653  -2.365  -2.115
14 17 3.450 -7.0  -3.661  -3.703  -3.771  -3.863  -3.964  -4.047  -4.097  -4.102
  -4.056  -3.987  -3.903  -3.773  -3.583  -3.351  -3.109  -2.882  -2.690
15 17 3.400 -7.0  -3.977  -4.098  -4.209  -4.288  -4.320  -4.299  -4.249  -4.213
  -4.206  -4.217  -4.224  -4.186  -4.078  -3.921  -3.753  -3.598  -3.461
16 17 3.350 -7.0  -4.448  -4.483  -4.462  -4.415  -4.384  -4.389  -4.427  -4.490
  -4.560  -4.628  -4.693  -4.744  -4.754  -4.703  -4.595  -4.451  -4.296
