GREVESSE 93 MIX X=0.35  Z=0.10
 9 17 3.700 -7.0  -1.905  -2.129  -2.345  -2.548  -2.730  -2.882  -2.984  -2.991
  -2.865  -2.599  -2.224  -1.787  -1.341   -.917   -.531   -.178    .142
10 17 3.650 -7.0  -2.622  -2.813  -2.986  -3.141  -3.274  -3.366  -3.383  -3.284
  -3.048  -2.701  -2.295  -1.885  -1.502  -1.158   -.850   -.556   -.265
11 17 3.600 -7.0  -3.228  -3.361  -3.474  -3.550  -3.574  -3.541  -3.447  -3.280
  -3.040  -2.753  -2.451  -2.151  -1.865  -1.587  -1.301   -.996   -.678
12 17 3.550 -7.0  -3.628  -3.660  -3.656  -3.625  -3.574  -3.508  -3.433  -3.340
  -3.219  -3.065  -2.875  -2.640  -2.368  -2.065  -1.741  -1.405  -1.087
13 17 3.500 -7.0  -3.689  -3.661  -3.633  -3.619  -3.628  -3.656  -3.689  -3.698
  -3.657  -3.561  -3.383  -3.095  -2.697  -2.201  -1.652  -1.130   -.728
14 17 3.450 -7.0  -3.708  -3.743  -3.801  -3.882  -3.978  -4.064  -4.111  -4.105
  -4.037  -3.856  -3.485  -2.925  -2.278  -1.664  -1.170   -.860   -.704
15 17 3.400 -7.0  -3.998  -4.112  -4.228  -4.321  -4.369  -4.364  -4.310  -4.198
  -3.927  -3.401  -2.711  -2.048  -1.500  -1.138   -.958   -.880   -.846
16 17 3.350 -7.0  -4.474  -4.529  -4.529  -4.491  -4.446  -4.368  -4.142  -3.657
  -2.968  -2.281  -1.707  -1.334  -1.159  -1.088  -1.059  -1.045  -1.036
17 17 3.300 -7.0  -4.610  -4.591  -4.580  -4.513  -4.263  -3.742  -3.035  -2.335
  -1.786  -1.469  -1.338  -1.289  -1.269  -1.259  -1.254  -1.251  -1.249
18 17 3.250 -7.0  -4.751  -4.616  -4.237  -3.607  -2.866  -2.211  -1.785  -1.597
  -1.530  -1.506  -1.494  -1.488  -1.485  -1.484  -1.483  -1.481  -1.481
19 17 3.200 -7.0  -3.913  -3.177  -2.494  -2.037  -1.848  -1.786  -1.764  -1.755
  -1.750  -1.748  -1.747  -1.748  -1.749  -1.748  -1.748  -1.748   -.286
20 17 3.150 -7.0  -2.056  -1.945  -1.911  -1.901  -1.895  -1.894  -1.893  -1.893
  -1.894  -1.893  -1.895   -.565   -.356   -.167   -.046    .565    .997
21 17 3.100 -7.0  -1.885  -1.884  -1.884  -1.884  -1.885  -1.885   -.826   -.537
   -.284    .220    .638    .722    .942   1.111   1.210   1.253   1.290
22 17 3.050 -7.0  -1.879  -1.878   -.655   -.386   -.098    .520    .755    .865
    .973   1.063   1.150   1.190   1.228   1.237   1.238   1.239   1.239
23 17 3.000 -7.0    .263    .476    .707    .855    .950   1.030   1.109   1.172
   1.183   1.184   1.185   1.186   1.186   1.186   1.186   1.186   1.186
GREVESSE 93 MIX X=0.35  Z=0.06
 1 17 4.100 -7.0   -.679   -.670   -.647   -.590   -.461   -.226    .138    .571
   1.026   1.455   1.820   2.100   2.298   2.444   2.567   2.690   2.830
 2 17 4.050 -7.0   -.712   -.727   -.716   -.641   -.470   -.189    .197    .626
   1.038   1.385   1.646   1.828   1.961   2.070   2.184   2.314   2.473
 3 17 4.000 -7.0   -.794   -.783   -.731   -.622   -.438   -.153    .198    .562
    .877   1.105   1.265   1.386   1.491   1.602   1.730   1.886   2.080
 4 17 3.950 -7.0   -.806   -.772   -.710   -.606   -.436   -.206    .053    .282
    .457    .587    .696    .803    .922   1.060   1.224   1.419   1.651
 5 17 3.900 -7.0   -.795   -.762   -.713   -.642   -.547   -.445   -.355   -.272
   -.189   -.096    .016    .150    .307    .489    .697    .936   1.210
 6 17 3.850 -7.0   -.800   -.795   -.805   -.836   -.890   -.950   -.990   -.991
   -.939   -.834   -.688   -.508   -.303   -.072    .184    .479    .819
 7 17 3.800 -7.0   -.899   -.994  -1.129  -1.289  -1.452  -1.600  -1.706  -1.744
  -1.692  -1.558  -1.367  -1.135   -.872   -.579   -.240    .145    .553
 8 17 3.750 -7.0  -1.279  -1.478  -1.689  -1.899  -2.099  -2.275  -2.405  -2.451
  -2.385  -2.217  -1.970  -1.663  -1.301   -.893   -.465   -.048    .341
 9 17 3.700 -7.0  -1.910  -2.136  -2.356  -2.564  -2.755  -2.915  -3.028  -3.050
  -2.943  -2.701  -2.347  -1.922  -1.473  -1.042   -.645   -.280    .050
10 17 3.650 -7.0  -2.639  -2.839  -3.023  -3.187  -3.331  -3.436  -3.473  -3.396
  -3.179  -2.842  -2.436  -2.017  -1.623  -1.266   -.944   -.646   -.352
11 17 3.600 -7.0  -3.286  -3.426  -3.548  -3.637  -3.675  -3.656  -3.573  -3.415
  -3.177  -2.884  -2.569  -2.258  -1.963  -1.679  -1.392  -1.093   -.778
12 17 3.550 -7.0  -3.720  -3.762  -3.767  -3.743  -3.696  -3.633  -3.555  -3.457
  -3.329  -3.167  -2.971  -2.736  -2.468  -2.168  -1.846  -1.512  -1.192
13 17 3.500 -7.0  -3.806  -3.779  -3.751  -3.732  -3.735  -3.757  -3.784  -3.792
  -3.754  -3.659  -3.488  -3.212  -2.820  -2.332  -1.782  -1.255   -.848
14 17 3.450 -7.0  -3.817  -3.845  -3.897  -3.971  -4.063  -4.153  -4.210  -4.214
  -4.156  -3.985  -3.620  -3.065  -2.416  -1.795  -1.294   -.980   -.821
15 17 3.400 -7.0  -4.085  -4.193  -4.309  -4.411  -4.473  -4.483  -4.438  -4.327
  -4.057  -3.535  -2.844  -2.176  -1.624  -1.259  -1.077   -.998   -.964
16 17 3.350 -7.0  -4.562  -4.631  -4.646  -4.617  -4.570  -4.488  -4.262  -3.781
  -3.094  -2.406  -1.828  -1.452  -1.276  -1.205  -1.177  -1.162  -1.154
17 17 3.300 -7.0  -4.733  -4.709  -4.692  -4.622  -4.375  -3.862  -3.159  -2.457
  -1.903  -1.583  -1.452  -1.403  -1.384  -1.375  -1.370  -1.367  -1.365
18 17 3.250 -7.0  -4.852  -4.722  -4.350  -3.727  -2.986  -2.326  -1.896  -1.708
